char,cj,wubi98,wubi86,sijiao,zhengma,terra,bopomofo,flypy,ms,zrm,sogou,abc,ziguang,moqi_aux,xh_aux,zrm_aux,lvl
𩒏,大火一月金,dodm,dodm,,,hui4,ㄏㄨㄟˋ,hv,hv,hv,hv,hm,hn,uy,,yh|hy,
𩒐,一土一月金,gcfm,gcfm,,,chi3,ㄔˇ,ii,ii,ii,ii,ei,ai,gy,,yv|vy,
𩒓,廿金一月金|重重廿金一,awdm,awdm,,,hong3,ㄏㄨㄥˇ,hs,hs,hs,hs,hs,hh,gy,,yg|gy,
𩒔,尸山一月金|重尸山一月,vmdm,vmdm,,,nou2,ㄋㄡˊ,nz,nb,nb,nb,nb,nz,ey,,yn|yu,
𩒕,廿山一月金|重廿山一月,ubtm,ubtm,,,nie4|po4|e4,ㄋㄧㄝˋ|ㄆㄛˋ|ㄜˋ,np|po|ee,nx|po|oe,nx|po|ee,nx|po|oe,nx|po|oe,nd|po|oe,ny,,yn,
𩒖,一十一十金,gadm|gdfm,gdfm,,,yan4,ㄧㄢˋ,yj,yj,yj,yj,yj,yr,gy,,yj|ky|yk,
𩒘,大山一月金|重大山一月,ycqm,ycqm,,,chong3,ㄔㄨㄥˇ,is,is,is,is,es,ah,wy,,yi|iy,
𩒙,竹山一月金,tfqm,tfqm,,,fu3|gui4,ㄈㄨˇ|ㄍㄨㄟˋ,fu|gv,fu|gv,fu|gv,fu|gv,fu|gm,fu|gn,ny,,yx,
𩒚,火山一月金,igqm,iqdm,,,guang1,ㄍㄨㄤ,gl,gd,gd,gd,gt,gg,gy,,yg|gy,
𩒛,重卜火一月|卜火一月金,hidm,hidm,,,qi1,ㄑㄧ,qi,qi,qi,qi,qi,qi,uy,,yu|uy|yx,
𩒝,日心一月金,jxdm,jxdm,,,gen3,ㄍㄣˇ,gf,gf,gf,gf,gf,gw,oy,,yy|yb|oy,
𩒞,一一一月金,fhdm,fhdm,,,ting3,ㄊㄧㄥˇ,tk,t;,ty,t;,ty,t;,gy,,yg|yv|yy,
𩒢,一一一月金,gjgm,gjgm,,,tan3,ㄊㄢˇ,tj,tj,tj,tj,tj,tr,ay,,yg,
𩒣,一弓一月金|重一弓一月,dwym,dwym,,,qian3,ㄑㄧㄢˇ,qm,qm,qm,qm,qw,qf,iy,,qy|iy|yj,
𩒦,竹難一月金,edmy,vdmy,,,jiu4|xin4,ㄐㄧㄡˋ|ㄒㄧㄣˋ,jq|xb,jq|xn,jq|xn,jq|xn,jr|xc,jj|xy,jy,,yj,
𩒧,竹月一月金,emhm,emhm,,,xu1,ㄒㄩ,xu,xu,xu,xu,xu,xu,pj,,yp,
𩒨,心日一月金,xjdm,xjdm,,,qi3,ㄑㄧˇ,qi,qi,qi,qi,qi,qi,by,,vy|yv,
𩒪,火十一月金,ofdm,ofdm,,,zhen4,ㄓㄣˋ,vf,vf,vf,vf,af,uw,hy,,yh|yu|hy,
𩒮,戈水一月金|重戈水一月,giym,fiym,,,qiu2,ㄑㄧㄡˊ,qq,qq,qq,qq,qr,qj,qy,,yq|qy,
𩒰,竹戈一月金|重重竹戈一,trnm,trnm,,,e3,ㄜˇ,ee,oe,ee,oe,oe,oe,wy,,yw|wy,
𩒳,日女一月金|重重日女一,jvdm,jvdm,,,hui4,ㄏㄨㄟˋ,hv,hv,hv,hv,hm,hn,oy,,yy|oy,
𩒴,一水一月金,aidm,aidm,,,hong4,ㄏㄨㄥˋ,hs,hs,hs,hs,hs,hh,gy,,yg|gy,
𩒵,心田一月金,xldm,xldm,,,qing3,ㄑㄧㄥˇ,qk,q;,qy,q;,qy,q;,by,,yb,
𩒷,十十一月金,ldmy,ldmy,,,che1|rong3,ㄔㄜ|ㄖㄨㄥˇ,ie|rs,ie|rs,ie|rs,ie|rs,ee|rs,ae|rh,iy,,yi|iy,
𩒺,戈月一月金|重戈月一月,sdmy,gehm,,,fu4,ㄈㄨˋ,fu,fu,fu,fu,fu,fu,fy,,yf,
𩒼,弓月一月金,cedm,cedm,,,hong1,ㄏㄨㄥ,hs,hs,hs,hs,hs,hh,sy,,yy,
𩒽,大月一月金,rdmm,qdmm,,,xi1,ㄒㄧ,xi,xi,xi,xi,xi,xi,xy,,yx|xy,
𩒾,一口一月金,gkdm,gkdm,,,wu2,ㄨˊ,wu,wu,wu,wu,wu,wu,wy,,yw|wy,
𩒿,戈竹一月金|重重戈竹一,dnem,dnem,,,mang2,ㄇㄤˊ,mh,mh,mh,mh,mh,ms,ly,,ym|my,
𩓂,金竹一月金|重金竹一月,uxhm,uxhm,,,ti1,ㄊㄧ,ti,ti,ti,ti,ti,ti,by,,yd|dy,
𩓅,弓月一月金|重弓月一月,qedm,qedm,,,hong1,ㄏㄨㄥ,hs,hs,hs,hs,hs,hh,dy,,yj,
𩓐,十木一月金,fpbm,fpbm,,,bo2,ㄅㄛˊ,bo,bo,bo,bo,bo,bo,uy,,by,
𩓒,一戈一月金|一中一月金|重一中一月,dwym,dwym,,,qin3,ㄑㄧㄣˇ,qb,qn,qn,qn,qc,qy,iy,,yi,
𩓓,月心一月金,hxdm,hxdm,,,gen3,ㄍㄣˇ,gf,gf,gf,gf,gf,gw,oy,,gy,
𩓖,月木一月金,ebdm,ebdm,,,fu2,ㄈㄨˊ,fu,fu,fu,fu,fu,fu,vy,,yf|fy,
𩓗,卜廿一月金,ycam,ycam,,,kui3,ㄎㄨㄟˇ,kv,kv,kv,kv,km,kn,wy,,qy,
𩓝,火月一月金,idmy,umim,,,bie2,ㄅㄧㄝˊ,bp,bx,bx,bx,bx,bd,xy,,yb|dy|ye,
𩓞,月木一月金|弓木一月金|重月木一月,qvhm,qvhm,,,jing4,ㄐㄧㄥˋ,jk,j;,jy,j;,jy,j;,vy,,yv|vy,
𩓟,竹難一月金|弓難一月金|尸難一月金|重重竹難一,qedm,qvdm,,,kan3,ㄎㄢˇ,kj,kj,kj,kj,kj,kr,dy,,yd|yj,
𩓠,十木一月金,fcsm,fcsm,,,gui1,ㄍㄨㄟ,gv,gv,gv,gv,gm,gn,vy,,ym|vy,
𩓢,日木一月金,jsdm,jsdm,,,gao3,ㄍㄠˇ,gc,gk,gk,gk,gk,gq,oy,,yg|gy,
𩓣,竹廿一月金,eudm,eudm,,,xu1,ㄒㄩ,xu,xu,xu,xu,xu,xu,pl,,yp,
𩓤,山十一月金,mdfm,mdfm,,,an4,ㄢˋ,an,oj,an,oj,oj,or,uy,,ya|ay,
𩓥,人山一月金|重人山一月,rmdm,rgmm,,,yue4,ㄩㄝˋ,yt,yt,yt,yt,ym,yn,qy,,yy,
𩓦,尸山一月金|重重尸山一,nbmm,nbmm,,,wu4,ㄨˋ,wu,wu,wu,wu,wu,wu,uy,,yq|qy,
𩓧,十一一月金,pegm,pegm,,,yi2,ㄧˊ,yi,yi,yi,yi,yi,yi,by,,yy,
𩓨,手月一月金,gedm,gedm,,,jing1,ㄐㄧㄥ,jk,j;,jy,j;,jy,j;,fy,,yq|qy,
𩓪,弓水一月金|女水一月金|重弓水一月,vidm,vidm,,,lu4,ㄌㄨˋ,lu,lu,lu,lu,lu,lu,hy,,yl|ly,
𩓫,火山一月金|重火山一月,ugbm,udbm,,,quan2,ㄑㄩㄢˊ,qr,qr,qr,qr,qp,ql,jy,,yj,
𩓬,心木一月金|重重心木一,qrsm,qrsm,,,tui2,ㄊㄨㄟˊ,tv,tv,tv,tv,tm,tn,wy,,yw|ym|wy,
𩓮,火木一月金,osdm,osdm,,,ji4,ㄐㄧˋ,ji,ji,ji,ji,ji,ji,hy,,ym|hy,
𩓺,日火一月金|重重日火一,jodm,jodm,,,jiong3,ㄐㄩㄥˇ,js,js,js,js,js,jh,oy,,gy,
𩓻,山中一月金,mldm,mldm,,,jue2,ㄐㄩㄝˊ,jt,jt,jt,jt,jm,jn,uy,,uy|yj,
𩓼,山月一月金|重重山月一,medm,medm,,,pie1,ㄆㄧㄝ,pp,px,px,px,px,pd,uy,,yb|uy|yy,
𩓽,田木一月金|重重田木一,ltdm,ltdm,,,kun1,ㄎㄨㄣ,ky,kp,kp,kp,kn,km,ky,,jy|yq|qy,
𩔀,廿人一月金,uedm,uedm,,,wai4,ㄨㄞˋ,wd,wl,wl,wl,wl,wp,by,,ys|yu|by,
𩔁,一田一月金,dljm,dmjm,,,hui4,ㄏㄨㄟˋ,hv,hv,hv,hv,hm,hn,my,,ym|my,
𩔂,女人一月金,xedm,xedm,,,dun4,ㄉㄨㄣˋ,dy,dp,dp,dp,dn,dm,hy,,yh|ty|yt,
𩔃,月水一月金|重月水一月,egdm,eftm,,,yuan3,ㄩㄢˇ,yr,yr,yr,yr,yp,yl,vy,,yy,
𩔄,土大一月金,fknm,fkgm,,,jie2,ㄐㄧㄝˊ,jp,jx,jx,jx,jx,jd,ty,,uy|yk,
𩔆,弓大一月金,wgdm,wgdm,,,gui4,ㄍㄨㄟˋ,gv,gv,gv,gv,gm,gn,by,,yg|gy,
𩔇,竹土一月金|重竹土一月,rgdm,rgdm,,,gao3,ㄍㄠˇ,gc,gk,gk,gk,gk,gq,by,,yh,
𩔈,廿十一月金,afdm,afdm,,,po4,ㄆㄛˋ,po,po,po,po,po,po,gy,,yg|gy,
𩔉,口日一月金,najm,najm,,,men2|min2|hun1,ㄇㄣˊ|ㄇㄧㄣˊ|ㄏㄨㄣ,mf|mb|hy,mf|mn|hp,mf|mn|hp,mf|mn|hp,mf|mc|hn,mw|my|hm,my,,yh,
𩔊,一金一月金,dmdm,dmdm,,,zhuan4,ㄓㄨㄢˋ,vr,vr,vr,vr,ap,ul,yy,,yy,
𩔋,月月一月金,emfm,emfm,,,hang4,ㄏㄤˋ,hh,hh,hh,hh,hh,hs,vy,,yi,
𩔔,竹月一月金,tkmm,tkmm,,,yong2,ㄩㄥˊ,ys,ys,ys,ys,ys,yh,yy,,yy,
𩔕,金田一月金|廿田一月金,usgm,usgm,,,qiu2,ㄑㄧㄡˊ,qq,qq,qq,qq,qr,qj,by,,yq|qy,
𩔗,火女一月金,ovdm,ovdm,,,lei4,ㄌㄟˋ,lw,lz,lz,lz,lq,lk,my,,ly,
𩔘,弓尸一月金,ceem,celm,,,ang2,ㄤˊ,ah,oh,ah,oh,oh,os,sy,,yy,
𩔙,竹心一月金,tlrm,tlqm,,,pi3|xin4,ㄆㄧˇ|ㄒㄧㄣˋ,pi|xb,pi|xn,pi|xn,pi|xn,pi|xc,pi|xy,py,,yp,
𩔚,金一一月金|重金一一月,wcnm,wcnm,,,weng1|weng3,ㄨㄥ|ㄨㄥˇ,wg,wg,wg,wg,wg,wt,gy,,yw|wy,
𩔝,人女一月金,wycm,wynm,,,qin4,ㄑㄧㄣˋ,qb,qn,qn,qn,qc,qy,ry,,yq|qy,
𩔟,一金一月金|重一金一月,dqdm,dqdm,,,qin3,ㄑㄧㄣˇ,qb,qn,qn,qn,qc,qy,iy,,yq,
𩔠,月山十木金,hfdm,hfim,,,mie4,ㄇㄧㄝˋ,mp,mx,mx,mx,mx,md,oy,,ym|yw|oy,
𩔡,口一一月金,afnm|anfm,nxnm,,,dou1,ㄉㄡ,dz,db,db,db,db,dz,yy,,yd|yy,
𩔢,卜木一月金,opdm,opdm,,,mi2,ㄇㄧˊ,mi,mi,mi,mi,mi,mi,zy,,ym|my,
𩔣,卜尸人卜金,ytmm,ytmm,,,zhan1,ㄓㄢ,vj,vj,vj,vj,aj,ur,fy,,dy|vy|yv,
𩔥,手火一月金,gxim,gxim,,,qing3,ㄑㄧㄥˇ,qk,q;,qy,q;,qy,q;,fy,,ys,
𩔦,卜口一月金,tnpm,wnnm,,,yi2,ㄧˊ,yi,yi,yi,yi,yi,yi,zy,,yv,
𩔮,一土戈中金,gytm,gytm,,,ban1,ㄅㄢ,bj,bj,bj,bj,bj,br,wy,,yb|by,
𩔱,金廿一月金|廿廿一月金|重廿廿一月,uwlm,uwlm,,,juan1,ㄐㄩㄢ,jr,jr,jr,jr,jp,jl,by,,yy,
𩔳,手金一月金,gmdm,gmdm,,,ze2,ㄗㄜˊ,ze,ze,ze,ze,ze,ze,fy,,yz|zy,
𩔴,戈心一月金,oxxm,ynjm,,,xu4,ㄒㄩˋ,xu,xu,xu,xu,xu,xu,ly,,yl|ly,
𩔵,木女一月金,ssvm,ssvm,,,lan2,ㄌㄢˊ,lj,lj,lj,lj,lj,lr,my,,yl|ly,
𩔶,戈金一月金|戈木一月金,ossm,yssm,,,ma2,ㄇㄚˊ,ma,ma,ma,ma,ma,ma,gy,,ym|my,
𩔷,廿大一月金,ajdm,ajdm,,,ma2,ㄇㄚˊ,ma,ma,ma,ma,ma,ma,cy,,ym,
𩔸,尸口一月金,akkm,akkm,,,ou1,ㄡ,ou,ob,ou,ob,ob,oz,ky,,yq|qy,
𩔹,竹十一月金,ertm,ertm,,,bei1,ㄅㄟ,bw,bz,bz,bz,bq,bk,pu,,yp|yb|by,
𩔻,竹口一月金,eukm,eukm,,,pou2,ㄆㄡˊ,pz,pb,pb,pb,pb,pz,pk,,yp,
𩔼,戈火一月金,oaom,yaom,,,xu4,ㄒㄩˋ,xu,xu,xu,xu,xu,xu,gy,,yu|uy,
𩕀,土大一月金|手大一月金|重土大一月|重手大一月,gqtm,gqtm,,,ao4,ㄠˋ,ao,ok,ao,ok,ok,oq,fy,,ay|ya,
𩕆,卜十一月金,ujdm,ujdm,,,hong3,ㄏㄨㄥˇ,hs,hs,hs,hs,hs,hh,ly,,vy|yv,
𩕉,重卜土一月|卜土一月金,ujfm,ujfm,,,hong3,ㄏㄨㄥˇ,hs,hs,hs,hs,hs,hh,ly,,yt,
𩕊,廿口一月金,uukm,udum,,,zhan3,ㄓㄢˇ,vj,vj,vj,vj,aj,ur,yy,,yu|uy,
𩕌,木木一月金,sssm,sssm,,,sen3,ㄙㄣˇ,sf,sf,sf,sf,sf,sw,my,,ys|sy,
𩕍,竹十一月金,thim,thim,,,gao3|hao2,ㄍㄠˇ|ㄏㄠˊ,gc|hc,gk|hk,gk|hk,gk|hk,gk|hk,gq|hq,zy,,yg,
𩕏,竹田一月金|重重竹田一,tolm,tolm,,,po2|fan2,ㄆㄛˊ|ㄈㄢˊ,po|fj,po|fj,po|fj,po|fj,po|fj,po|fr,cy,,yf|fy,
𩕐,大火一月金|重大火一月,dujm,dujm,,,liao4,ㄌㄧㄠˋ,ln,lc,lc,lc,lz,lb,dy,,yl|dy|yx,
𩕕,廿月一月金|重重廿月一,aeem,aeem,,,wai4,ㄨㄞˋ,wd,wl,wl,wl,wl,wp,cy,,ym|cy|yp,
𩕖,月戈一月金|重月戈一月,elfm,elfm,,,xuan1,ㄒㄩㄢ,xr,xr,xr,xr,xp,xl,vy,,yu|yc|vy,
𩕜,重重卜土一|卜土一月金,fwfm,fwfm,,,kui2,ㄎㄨㄟˊ,kv,kv,kv,kv,km,kn,zy,,yk|ky,
𩕟,廿木一月金,oufm,ogum,,,e4,ㄜˋ,ee,oe,ee,oe,oe,oe,yy,,yy,
𩕠,戈火一月金,dgkm,dgkm,,,han4,ㄏㄢˋ,hj,hj,hj,hj,hj,hr,wy,,xy|yh,
𩕡,土田一月金,fwwm,fwwm,,,se4,ㄙㄜˋ,se,se,se,se,se,se,gy,,ys|sy,
𩕤,十田一月金|重十田一月,pwym,pwym,,,dan4,ㄉㄢˋ,dj,dj,dj,dj,dj,dr,by,,yr|yx|xy|yh,
𩕪,田女一月金,lgkm,lgkm,,,xuan1,ㄒㄩㄢ,xr,xr,xr,xr,xp,xl,sy,,yq|sy,
𩕬,竹中一月金|重重竹中一,thlm,thlm,,,e4,ㄜˋ,ee,oe,ee,oe,oe,oe,zy,,yb|by,
𩕭,廿廿一月金|重重廿廿一,afcm,afcm,,,gai4,ㄍㄞˋ,gd,gl,gl,gl,gl,gp,cy,,yg,
𩕯,土戈一月金|重土戈一月,fnam,fnam,,,dao1,ㄉㄠ,dc,dk,dk,dk,dk,dq,ty,,yu|uy,
𩕱,廿人一月金,apfm,apgm,,,meng3,ㄇㄥˇ,mg,mg,mg,mg,mg,mt,cy,,ym|my,
𩕲,卜尸人口金,ytdm,ytdm,,,yi1,ㄧ,yi,yi,yi,yi,yi,yi,fy,,yy,
𩕳,十弓一月金,pnlm,pnlm,,,ning3,ㄋㄧㄥˇ,nk,n;,ny,n;,ny,n;,by,,yn|ny,
𩕵,山口一月金,bmwm,bmwm,,,pin2,ㄆㄧㄣˊ,pb,pn,pn,pn,pc,py,ik,,yi|iy|yy,
𩕹,廿口一月金,awym,awym,,,cang1,ㄘㄤ,ch,ch,ch,ch,ch,cs,cy,,yc|cy,
𩕾,田大一月金,ldlm,ldlm,,,yuan4,ㄩㄢˋ,yr,yr,yr,yr,yp,yl,sy,,sy|yd,
𩖀,手山一月金,ghhm,ghhm,,,e4,ㄜˋ,ee,oe,ee,oe,oe,oe,fy,,yx|dy|yy,
𩖁,重重卜山一|卜山一月金,hbdm,hbdm,,,nie4|ya2,ㄋㄧㄝˋ|ㄧㄚˊ,np|ya,nx|ya,nx|ya,nx|ya,nx|ya,nd|ya,vy,,yi|iy,
𩖄,一人一月金,dwgm,dwgm,,,yin3,ㄧㄣˇ,yb,yn,yn,yn,yc,yy,iy,,ly|iy|yq,
𩖇,月山尸竹金,hnwm,hnwm,,,qiao1,ㄑㄧㄠ,qn,qc,qc,qc,qz,qb,oy,,yq,
𩖉,廿山一月金,alpm,alpm,,,hong1,ㄏㄨㄥ,hs,hs,hs,hs,hs,hh,cy,,cy,
𩖊,一口一月金,fkkm,fkkm,,,ling2,ㄌㄧㄥˊ,lk,l;,ly,l;,ly,l;,yy,,yl|yy|yk,
𩖌,弓戈一月金,qkxm,qkxm,,,chan1,ㄔㄢ,ij,ij,ij,ij,ej,ar,dy,,yi|yt,
𩖍,月女一月金,mmvm,mmvm,,,ying3,ㄧㄥˇ,yk,y;,yy,y;,yy,y;,by,,yy,
𩖒,一火一火金,drim,drim,,,guan1,ㄍㄨㄢ,gr,gr,gr,gr,gp,gl,iy,,yy,
𩖔,一金竹火火,dmqo,dmwo,,,niao3,ㄋㄧㄠˇ,nn,nc,nc,nc,nz,nb,yn,,yn,
𩖕,竹廿一月人,eudm,eudm,,,xu1,ㄒㄩ,xu,xu,xu,xu,xu,xu,,,,
𩖖,火火一月人,oodm,oodm,,,tan2,ㄊㄢˊ,tj,tj,tj,tj,tj,tr,,,,
𩖗,木火一月人,ssfm,ssfm,,,jin4,ㄐㄧㄣˋ,jb,jn,jn,jn,jc,jy,,,,
𩖛,竹弓竹弓戈,wtjy,mtjy,,,peng2,ㄆㄥˊ,pg,pg,pg,pg,pg,pt,ff,,ff,
𩖝,竹弓心竹|重竹弓心竹,wtjt,mtjt,,,liao2,ㄌㄧㄠˊ,ln,lc,lc,lc,lz,lb,fp,,fp,
𩖠,竹弓女|重竹弓女,wtjv,mtjv,,,bei4,ㄅㄟˋ,bw,bz,bz,bz,bq,bk,fn,,fn,
𩖣,卜大竹弓戈,ywtj,ymtj,,,xin2|ba2,ㄒㄧㄣˊ|ㄅㄚˊ,xb|ba,xn|ba,xn|ba,xn|ba,xc|ba,xy|ba,wf,,fw|wf,
𩖤,竹弓心山,wtjn,mtjn,,,tun2,ㄊㄨㄣˊ,ty,tp,tp,tp,tn,tm,ft,,ft,
𩖥,竹弓火竹,wtjt,mtjt,,,chao1,ㄔㄠ,ic,ik,ik,ik,ek,aq,fu,,fu,
𩖦,竹弓人戈弓,wtjn,mtjn,,,gan1,ㄍㄢ,gj,gj,gj,gj,gj,gr,fv,,fj,
𩖨,竹弓心竹竹,wtjr,mtjr,,,hu1,ㄏㄨ,hu,hu,hu,hu,hu,hu,fw,,fw,
𩖩,竹弓月水,wtjc,mtjc,,,wang3,ㄨㄤˇ,wh,wh,wh,wh,wh,ws,fy,,fy,
𩖬,手人竹弓戈,gwtj,fwmj,,,fu2,ㄈㄨˊ,fu,fu,fu,fu,fu,fu,ff,,ff,
𩖭,竹弓十月,wtjh,mtjh,,,pei4,ㄆㄟˋ,pw,pz,pz,pz,pq,pk,fj,,fu|fk,
𩖯,竹弓人月|重竹弓人月,wtjw,mtjw,,,nao2,ㄋㄠˊ,nc,nk,nk,nk,nk,nq,fn,,fn,
𩖰,竹弓卜大,wtjy,mtjy,,,xun2|xin2,ㄒㄩㄣˊ|ㄒㄧㄣˊ,xy|xb,xp|xn,xp|xn,xp|xn,xn|xc,xm|xy,fw,,wf,
𩖱,竹弓水,wtji,mtji,,,xue4,ㄒㄩㄝˋ,xt,xt,xt,xt,xm,xn,fu,,fu,
𩖴,竹弓竹竹中,wtjb,mtjb,,,liu3,ㄌㄧㄡˇ,lq,lq,lq,lq,lr,lj,fe,,fm,
𩖵,竹弓人戈戈|竹弓人一中,wtjc,mtjc,,,ling2,ㄌㄧㄥˊ,lk,l;,ly,l;,ly,l;,fs,,fl,
𩖶,竹弓戈木|竹弓戈十金,wtjy,mtjy,,,xue4,ㄒㄩㄝˋ,xt,xt,xt,xt,xm,xn,fu,,fv|fu,
𩖷,竹弓山山|重竹弓山山,wgjm|wtjm,mtjm,,,qu1,ㄑㄩ,qu,qu,qu,qu,qu,qu,fi,,fi,
𩖸,竹弓口一尸,wtjn,mtjn,,,hao2,ㄏㄠˊ,hc,hk,hk,hk,hk,hq,fk,,fh,
𩖹,竹弓尸心,wtjx,mtjx,,,yi2,ㄧˊ,yi,yi,yi,yi,yi,yi,fb,,fn,
𩖺,竹弓廿一,wtjf,mtjf,,,han4,ㄏㄢˋ,hj,hj,hj,hj,hj,hr,fg,,fg,
𩖼,竹弓中中弓,wtjj,mtjj,,,fu2,ㄈㄨˊ,fu,fu,fu,fu,fu,fu,ff,,ff,
𩖽,竹弓木竹水,wtjb,mtjc,,,ba2,ㄅㄚˊ,ba,ba,ba,ba,ba,ba,fp,,fp,
𩖾,竹弓尸一一,wtjf,mtjf,,,yi2,ㄧˊ,yi,yi,yi,yi,yi,yi,fe,,fr,
𩗀,竹弓竹日,wtjr,mtjr,,,bo2,ㄅㄛˊ,bo,bo,bo,bo,bo,bo,fb,,fb,
𩗄,竹弓廿金,wtjw,mtjw,,,hong1,ㄏㄨㄥ,hs,hs,hs,hs,hs,hh,fg,,fg,
𩗅,竹弓尸竹竹,wtjv,mtjv,,,li4,ㄌㄧˋ,li,li,li,li,li,li,fd,,fl,
𩗉,竹弓大木,wtjs,mtjs,,,sa4,ㄙㄚˋ,sa,sa,sa,sa,sa,sa,fm,,fu,
𩗊,竹弓土口,wtjk,mtjk,,,xi1,ㄒㄧ,xi,xi,xi,xi,xi,xi,fk,,fj,
𩗎,竹弓戈心一,wtjy,mtja,,,shi4,ㄕˋ,ui,ui,ui,ui,vi,ii,fg,,fu,
𩗏,一田竹弓戈|重一田竹弓,swtj,smtj,,,piao1,ㄆㄧㄠ,pn,pc,pc,pc,pz,pb,xf,,xf|fx,
𩗐,竹弓火木|重竹弓火木,wtjo,mtjo,,,hua4,ㄏㄨㄚˋ,hx,hw,hw,hw,hd,hx,fm,,fm,
𩗑,竹弓尸一,wtja,mtja,,,yi2,ㄧˊ,yi,yi,yi,yi,yi,yi,fg,,fg,
𩗒,竹弓卜金大,wtjr,mtjq,,,bo2,ㄅㄛˊ,bo,bo,bo,bo,bo,bo,ff,,fj,
𩗓,竹弓十月木,wtjb,mtjb,,,bo2,ㄅㄛˊ,bo,bo,bo,bo,bo,bo,fz,,fb,
𩗔,月女竹弓戈,evwj,evmj,,,nei3,ㄋㄟˇ,nw,nz,nz,nz,nq,nk,vf,,ft|tf,
𩗕,竹弓戈十水,wtjy,mtjy,,,qiu2,ㄑㄧㄡˊ,qq,qq,qq,qq,qr,qj,fq,,fq,
𩗘,竹弓尸竹山,wtje,mtjn,,,wei3,ㄨㄟˇ,ww,wz,wz,wz,wq,wk,fm,,fw,
𩗙,竹弓手竹中,wtjr,mtjr,,,che4,ㄔㄜˋ,ie,ie,ie,ie,ee,ae,fj,,fv,
𩗚,竹弓人中大,wtjt,mtjt,,,you2,ㄧㄡˊ,yz,yb,yb,yb,yb,yz,fw,,fy,
𩗜,竹弓弓一山,wtjb,mtjb,,,wei4,ㄨㄟˋ,ww,wz,wz,wz,wq,wk,fv,,fw,
𩗝,竹弓竹中戈|重竹弓竹中,wtjj,mtjj,,,hui3,ㄏㄨㄟˇ,hv,hv,hv,hv,hm,hn,fi,,fi,
𩗞,竹弓竹火木,wtjo,mtjo,,,sa4,ㄙㄚˋ,sa,sa,sa,sa,sa,sa,fc,,fb,
𩗢,竹弓一水|重竹弓一水,wtji,mtji,,,hong4,ㄏㄨㄥˋ,hs,hs,hs,hs,hs,hh,fu,,fg,
𩗣,竹弓木中,wtjk,mtji,,,sou1,ㄙㄡ,sz,sb,sb,sb,sb,sz,fu,,fu,
𩗤,竹弓日一十,wtjf,mtjf,,,han4,ㄏㄢˋ,hj,hj,hj,hj,hj,hr,fg,,fh,
𩗥,竹弓口日山,wtjc,mtjc,,,pao2,ㄆㄠˊ,pc,pk,pk,pk,pk,pq,fb,,fy,
𩗧,弓中卜尸弓,bywj,bymj,,,fang2,ㄈㄤˊ,fh,fh,fh,fh,fh,fs,ef,,ff,
𩗩,金竹弓戈|重金竹弓戈,qwtj,qmtj,,,liu2,ㄌㄧㄡˊ,lq,lq,lq,lq,lr,lj,jf,,fj|jf,
𩗪,竹弓月土口|竹弓月手口,wtjk,mtjk,,,zhou4,ㄓㄡˋ,vz,vb,vb,vb,ab,uz,fk,,fv,
𩗫,竹弓竹田十,wtjf,mtjf,,,pi2,ㄆㄧˊ,pi,pi,pi,pi,pi,pi,fu,,fb,
𩗭,竹弓竹尸大|竹弓戈尸大,wtjd,mtjd,,,li4,ㄌㄧˋ,li,li,li,li,li,li,fq,,fl,
𩗰,竹弓竹十一,wtja|wtjf,mtjf,,,chui2,ㄔㄨㄟˊ,iv,iv,iv,iv,em,an,ft,,fi,
𩗱,竹弓木竹中,wtjr,mtjr,,,xi1,ㄒㄧ,xi,xi,xi,xi,xi,xi,fj,,fx,
𩗲,竹弓月尸木|竹弓弓尸木,wtjh,mtjh,,,zheng1,ㄓㄥ,vg,vg,vg,vg,ag,ut,fy,,fv,
𩗴,竹弓手大手,wtjg,mtjh,,,beng4,ㄅㄥˋ,bg,bg,bg,bg,bg,bt,ff,,ff,
𩗵,竹弓火月口,wtjk,mtjk,,,zheng1,ㄓㄥ,vg,vg,vg,vg,ag,ut,fk,,fu,
𩗶,竹弓卜人十,wtjf,mtjf,,,sui4,ㄙㄨㄟˋ,sv,sv,sv,sv,sm,sn,fu,,fz,
𩗷,竹弓大中山|竹弓大中女,wtjn,mtjn,,,yan3,ㄧㄢˇ,yj,yj,yj,yj,yj,yr,fd,,fy,
𩗼,竹弓手一月,wtje,mtje,,,qing1,ㄑㄧㄥ,qk,q;,qy,q;,qy,q;,fo,,fq,
𩗽,竹弓一中一,wtjg,mtjg,,,wu4,ㄨˋ,wu,wu,wu,wu,wu,wu,fy,,fy,
𩗾,竹弓一中月,wtjy,mtjy,,,liang3,ㄌㄧㄤˇ,ll,ld,ld,ld,lt,lg,fr,,fl,
𩘀,竹弓卜日十,wtjj,mtjj,,,zhao4,ㄓㄠˋ,vc,vk,vk,vk,ak,uq,fu,,fv,
𩘁,卜火竹弓戈,yiwj,yimj,,,liang2,ㄌㄧㄤˊ,ll,ld,ld,ld,lt,lg,wf,,fj|jf,
𩘅,心日竹弓戈,xxrj,xxrj,,,jie1,ㄐㄧㄝ,jp,jx,jx,jx,jx,jd,bf,,fj|jf,
𩘇,竹弓心卜口,wtjy,mtjy,,,hong1,ㄏㄨㄥ,hs,hs,hs,hs,hs,hh,fk,,fh,
𩘈,竹弓山女戈,wtjx,mtjm,,,you1,ㄧㄡ,yz,yb,yb,yb,yb,yz,fy,,fy,
